ticker,start_date,end_date,type,label
AEX_NETHERLANDS,1997-07-01,1998-03-31,literature,Asian_Financial_1997
AEX_NETHERLANDS,2000-03-01,2002-10-31,literature,Dotcom_Bubble_2000
AEX_NETHERLANDS,2007-10-01,2009-03-31,literature,Global_Financial_2008
AEX_NETHERLANDS,2010-11-01,2012-06-30,literature,Eurozone_2011
AEX_NETHERLANDS,2015-06-01,2016-02-29,literature,China_2015
AEX_NETHERLANDS,2020-02-01,2020-08-31,literature,Covid_2020
AEX_NETHERLANDS,2001-09-14,2001-10-03,data,drawdown_35%
AEX_NETHERLANDS,2001-10-18,2001-10-22,data,drawdown_35%
AEX_NETHERLANDS,2002-06-12,2006-02-08,data,drawdown_35%
AEX_NETHERLANDS,2006-05-12,2006-08-11,data,drawdown_35%
AEX_NETHERLANDS,2008-01-18,2008-02-22,data,drawdown_35%
AEX_NETHERLANDS,2008-02-28,2008-04-01,data,drawdown_35%
AEX_NETHERLANDS,2008-04-11,2008-04-15,data,drawdown_35%
AEX_NETHERLANDS,2008-06-18,2015-02-10,data,drawdown_35%
AEX_NETHERLANDS,2015-08-21,2015-10-21,data,drawdown_35%
AEX_NETHERLANDS,2015-12-03,2016-09-01,data,drawdown_35%
AEX_NETHERLANDS,2016-09-09,2016-10-19,data,drawdown_35%
AEX_NETHERLANDS,2016-10-26,2016-11-21,data,drawdown_35%
AEX_NETHERLANDS,2016-12-01,2016-12-05,data,drawdown_35%
AEX_NETHERLANDS,2020-03-12,2020-03-23,data,drawdown_35%
CAC40_FRANCE,1997-07-01,1998-03-31,literature,Asian_Financial_1997
CAC40_FRANCE,2000-03-01,2002-10-31,literature,Dotcom_Bubble_2000
CAC40_FRANCE,2007-10-01,2009-03-31,literature,Global_Financial_2008
CAC40_FRANCE,2010-11-01,2012-06-30,literature,Eurozone_2011
CAC40_FRANCE,2015-06-01,2016-02-29,literature,China_2015
CAC40_FRANCE,2020-02-01,2020-08-31,literature,Covid_2020
CAC40_FRANCE,2001-09-06,2001-11-07,data,drawdown_35%
CAC40_FRANCE,2001-11-27,2001-12-03,data,drawdown_35%
CAC40_FRANCE,2001-12-13,2001-12-21,data,drawdown_35%
CAC40_FRANCE,2002-01-16,2002-01-23,data,drawdown_35%
