Date,p_calm,p_crisis,p_calm_raw,p_crisis_raw,state,quality_flag
1993-12-14,1.0,3.2987163525030327e-60,1.0,3.2987163525030327e-60,0,LOW_CONFIDENCE
1993-12-15,1.0,2.6848826322327543e-60,1.0,1.2526039516021063e-60,0,LOW_CONFIDENCE
1993-12-16,1.0,1.1715133693396952e-59,1.0,3.2785719502780084e-59,0,LOW_CONFIDENCE
1993-12-17,1.0,6.984961927857178e-59,1.0,2.054967523106464e-58,0,LOW_CONFIDENCE
1993-12-20,1.0,1.4519750376025695e-58,1.0,3.2100923421752234e-58,0,LOW_CONFIDENCE
1993-12-21,1.0,1.0713683183347912e-50,1.0,3.5712276939032203e-50,0,LOW_CONFIDENCE
1993-12-22,1.0,8.825485416920264e-51,1.0,4.4196906285890897e-51,0,LOW_CONFIDENCE
1993-12-23,1.0,6.858952835894375e-51,1.0,2.2703768135006357e-51,0,LOW_CONFIDENCE
1993-12-27,1.0,4.889507509087189e-51,1.0,2.9413507987042353e-52,0,LOW_CONFIDENCE
1993-12-28,1.0,3.442370799306889e-51,1.0,6.571847648619023e-53,0,LOW_CONFIDENCE
1993-12-29,1.0,2.4223686652034132e-51,1.0,4.236368562863648e-53,0,LOW_CONFIDENCE
1993-12-30,1.0,9.837225520433996e-41,1.0,3.2790751734214768e-40,0,LOW_CONFIDENCE
1994-01-03,1.0,4.02022610533008e-39,1.0,1.317121842229014e-38,0,LOW_CONFIDENCE
1994-01-04,1.0,2.8153497785170226e-39,1.0,3.971682619889515e-42,0,LOW_CONFIDENCE
1994-01-05,1.0,1.971055780768221e-39,1.0,1.0364526876830582e-42,0,LOW_CONFIDENCE
1994-01-06,1.0,1.3997627331938736e-39,1.0,6.674562218706378e-41,0,LOW_CONFIDENCE
1994-01-07,1.0,9.905908318689638e-40,1.0,3.585639544417487e-41,0,LOW_CONFIDENCE
1994-01-10,1.0,3.076780138240542e-38,1.0,1.0024795933365716e-37,0,LOW_CONFIDENCE
1994-01-11,1.0,1.77269115014837e-21,1.0,5.9089705004945666e-21,0,LOW_CONFIDENCE
1994-01-12,1.0,2.3048565695543517e-18,1.0,7.678718952497493e-18,0,LOW_CONFIDENCE
1994-01-13,0.9997661948659603,0.00023380513403970974,0.9992206495518926,0.0007793504467990271,0,LOW_CONFIDENCE
1994-01-14,0.9996315391175368,0.0003684608824632531,0.9993173423705705,0.0006826576287848543,0,LOW_CONFIDENCE
1994-01-17,0.9996816813230003,0.00031831867699970846,0.9997986798011848,0.00020132019758477095,0,LOW_CONFIDENCE
1994-01-18,0.9993936765695421,0.0006063234304578083,0.9987216654770714,0.0012783345218600412,0,LOW_CONFIDENCE
1994-01-19,0.9990860645315996,0.0009139354684003162,0.9983683031088084,0.0016316968902661683,0,LOW_CONFIDENCE
1994-01-20,0.9988984601431118,0.0011015398568881747,0.9984607165698312,0.0015392834300265114,0,LOW_CONFIDENCE
1994-01-21,0.9991964233834567,0.0008035766165433371,0.999891670944591,0.00010832905573871594,0,LOW_CONFIDENCE
1994-01-24,0.9992250291997453,0.0007749708002546341,0.9992917761059108,0.000708223895580994,0,LOW_CONFIDENCE
1994-01-25,0.9986680716302325,0.001331928369767522,0.9973685039668914,0.0026314960319642603,0,LOW_CONFIDENCE
1994-01-26,0.9982329447864884,0.0017670552135115635,0.9972176488167152,0.0027823511822476603,0,LOW_CONFIDENCE
1994-01-27,0.9966177407118905,0.003382259288109575,0.9928489312044502,0.007151068795504935,0,LOW_CONFIDENCE
1994-01-28,0.9946184872805606,0.005381512719439454,0.989953562606208,0.010046437392542507,0,LOW_CONFIDENCE
1994-01-31,0.9929554614552545,0.00704453854474556,0.9890750678618573,0.010924932137126475,0,LOW_CONFIDENCE
1994-02-01,0.9937114560884297,0.006288543911570323,0.995475443565873,0.00452455643416144,0,LOW_CONFIDENCE
1994-02-02,0.994752940833569,0.005247059166430954,0.9971830719042853,0.0028169280944390965,0,LOW_CONFIDENCE
1994-02-03,0.9963006420189336,0.003699357981066378,0.999911944784711,8.805521521570222e-05,0,LOW_CONFIDENCE
1994-02-04,0.9973935076260659,0.0026064923739340167,0.9999435273760571,5.647262395850681e-05,0,LOW_CONFIDENCE
1994-02-07,0.9981746023536806,0.0018253976463193978,0.9999971567198775,2.8432818852874684e-06,0,LOW_CONFIDENCE
1994-02-08,0.9987221552981634,0.0012778447018366138,0.9999997788363788,2.2116471011814e-07,0,LOW_CONFIDENCE
1994-02-09,0.9979990502506386,0.0020009497493613786,0.9963118051405415,0.0036881948602524974,0,LOW_CONFIDENCE
1994-02-10,0.9954617782179337,0.004538221782066348,0.9895414768090969,0.010458523191711276,0,LOW_CONFIDENCE
1994-02-11,0.9887060173437949,0.011293982656205065,0.9729425753052032,0.027057424695862076,0,LOW_CONFIDENCE
1994-02-14,0.978531634686543,0.02146836531345702,0.9547914084864976,0.045208591513711587,0,LOW_CONFIDENCE
1994-02-15,0.958904063771127,0.04109593622887296,0.9131063983033274,0.08689360169817682,0,LOW_CONFIDENCE
1994-02-16,0.9173164620526514,0.08268353794734865,0.8202787247111049,0.17972127529045862,0,LOW_CONFIDENCE
