Date,p_calm,p_crisis,p_calm_raw,p_crisis_raw,state,quality_flag
1987-10-12,0.0,1.0,5.718681332920317e-184,1.0,1,OK
1987-10-13,0.0,1.0,3.905295208437028e-183,1.0,1,OK
1987-10-14,0.0,1.0,1.7090595206642524e-183,1.0,1,OK
1987-10-15,0.0,1.0,7.483441379266479e-174,1.0,1,OK
1987-10-16,0.0,1.0,9.855169679136649e-27,1.0,1,OK
1987-10-19,0.0,1.0,3.1812722360782846e-21,1.0,1,OK
1987-10-26,0.0,1.0,2.922034196670786e-53,1.0,1,OK
1987-10-27,0.0,1.0,7.113817513237636e-45,1.0,1,OK
1987-10-28,0.0,1.0,1.629049087142931e-55,1.0,1,OK
1987-10-29,0.0,1.0,6.12518573248193e-149,1.0,1,OK
1987-10-30,0.0,1.0,3.7694555245691453e-63,1.0,1,OK
1987-11-02,0.0,1.0,4.727550657180537e-58,1.0,1,OK
1987-11-03,0.0,1.0,5.701286460003805e-58,1.0,1,OK
1987-11-04,0.0,1.0,3.91603821966683e-85,1.0,1,OK
1987-11-05,0.0,1.0,1.1348201939186441e-63,1.0,1,OK
1987-11-06,0.0,1.0,3.505633254958286e-52,1.0,1,OK
1987-11-09,0.0,1.0,5.492578919085567e-77,1.0,1,OK
1987-11-10,0.0,1.0,9.764563248172382e-52,1.0,1,OK
1987-11-11,0.0,1.0,1.5108254930914693e-48,1.0,1,OK
1987-11-12,0.0,1.0,2.869511446052803e-54,1.0,1,OK
1987-11-13,0.0,1.0,3.591516452903259e-58,1.0,1,OK
1987-11-16,0.0,1.0,7.294124937186191e-42,1.0,1,OK
1987-11-17,0.0,1.0,2.2130326259128832e-42,1.0,1,OK
1987-11-18,0.0,1.0,1.0508456945878772e-42,1.0,1,OK
1987-11-19,0.0,1.0,6.792636261620531e-36,1.0,1,OK
1987-11-20,0.0,1.0,2.1540962447908295e-50,1.0,1,OK
1987-11-23,0.0,1.0,2.093870644908268e-36,1.0,1,OK
1987-11-24,0.0,1.0,1.8290195012542198e-23,1.0,1,OK
1987-11-25,0.0,1.0,3.581193793937314e-26,1.0,1,OK
1987-11-26,0.0,1.0,8.329516066010297e-22,1.0,1,OK
1987-11-27,0.0,1.0,3.6347408647179744e-16,1.0,1,OK
1987-11-30,3.866097367577481e-06,0.9999961339026324,1.2886988297092767e-05,0.9999871130087752,1,OK
1987-12-01,2.7062681573486458e-06,0.9999972937318427,1.1897488461057024e-15,1.0,1,OK
1987-12-02,1.926736616031377e-06,0.999998073263384,1.0782894794352292e-07,0.9999998921703139,1,OK
1987-12-03,2.246722723842076e-05,0.9999775327727616,7.039503523416618e-05,0.9999296049613091,1,OK
1987-12-04,1.5727059067049964e-05,0.999984272940933,1.045112816879224e-14,1.0,1,OK
1987-12-07,1.551726252213559e-05,0.9999844827374779,1.5027740095287716e-05,0.9999849722627497,1,OK
1987-12-08,1.0864936668464331e-05,0.9999891350633315,9.512935460223515e-09,0.9999999904903234,1,OK
1987-12-09,7.605457850834441e-06,0.9999923945421492,4.4602076983230984e-12,0.999999999992724,1,OK
1987-12-10,5.8790817767384596e-06,0.9999941209182233,1.8508715427692226e-06,0.999998149129063,1,OK
1987-12-11,4.115357243872353e-06,0.9999958846427561,3.952152497705801e-18,1.0,1,OK
1987-12-14,2.8807980920753096e-06,0.9999971192019079,1.5975249638058992e-10,0.9999999998399289,1,OK
1987-12-15,2.016571761354058e-06,0.9999979834282386,4.637963616056189e-11,0.9999999999563443,1,OK
1987-12-16,1.571268082400934e-05,0.999984287319176,4.7670268180312826e-05,0.9999523297313634,1,OK
1987-12-17,1.7243283612522475e-05,0.9999827567163875,2.0814687899086476e-05,0.9999791853098812,1,OK
1987-12-18,1.785869552151098e-05,0.9999821413044785,1.929465732694996e-05,0.9999807053433577,1,OK
1987-12-21,1.2501089047933789e-05,0.9999874989109521,6.685604206707652e-12,0.999999999992724,1,OK
1987-12-22,1.8771203878387155e-05,0.9999812287961216,3.34014727616526e-05,0.9999665985281838,1,OK
1987-12-23,1.5985991747236028e-05,0.9999840140082528,9.487166825306188e-06,0.9999905128365588,1,OK
1987-12-24,1.119019422302081e-05,0.999988809805777,3.08959991165195e-15,1.0,1,OK
1987-12-28,7.83350484723222e-06,0.9999921664951528,1.2273413795870942e-09,0.9999999987703632,1,OK
1987-12-29,5.509858569618942e-06,0.9999944901414304,8.801398220717373e-08,0.9999999119827446,1,OK
1987-12-30,3.857579845556458e-06,0.9999961424201544,2.2650205042803593e-09,0.9999999977371772,1,OK
1987-12-31,2.700305892000543e-06,0.999997299694108,4.588480905665375e-15,1.0,1,OK
1988-01-04,1.8902141245558113e-06,0.9999981097858754,1.063509892924263e-15,1.0,1,OK
1988-01-05,1.3231498872112724e-06,0.9999986768501128,6.173265298905047e-18,1.0,1,OK
1988-01-06,9.262442113300295e-07,0.9999990737557887,1.2767671384114492e-10,0.9999999998690328,1,OK
1988-01-07,6.48370948042043e-07,0.999999351629052,3.309507327659181e-20,1.0,1,OK
1988-01-08,4.538596636294301e-07,0.9999995461403364,6.520736518181837e-15,1.0,1,OK
