horizon,model,rmse,mae,qlike,mz_beta,mz_r2,dm_stat,dm_p,jb_log_p,enc_beta2,enc_beta2_p,q95_coverage,q95_coverage_err,q95_width
1,PANEL_RIDGE,0.00033695263140973554,9.51777107651159e-05,0.44330080316026227,0.942936420772798,0.09811209084843797,-4.8202967307021165,1.4504505974066717e-06,1.4063720991435193e-100,-0.02544113006470114,0.6941027693096601,0.9395258829221094,0.010474117077890588,0.00030021830944996835
1,PANEL_ENET,0.0003368904439541437,9.277724999821969e-05,0.4459057632035418,1.1264285603759223,0.09909906822793468,-5.951734345133363,2.724837022682891e-09,1.6752649870632345e-103,0.04622598040000297,0.4664778637761653,0.9268666344138042,0.02313336558619572,0.0002600756314612065
5,PANEL_RIDGE,0.00020386357583691085,7.166373839230399e-05,0.2485978735702313,0.861803735622457,0.1790566227947855,-8.236731723537845,2.220446049250313e-16,0.0,0.09131157768327065,0.022494395729798222,0.9490404773423642,0.0009595226576357696,0.00029223463361283407
5,PANEL_ENET,0.00020325761413881856,6.952232600781485e-05,0.25154458059330426,1.031938328756968,0.17846426219090028,-10.60909357874419,0.0,0.0,0.2008636702030917,2.0650137966098174e-07,0.9350911143363974,0.0149088856636026,0.0002501693186741698
10,PANEL_RIDGE,0.00016460825243625948,6.741574469604497e-05,0.22034407775719872,0.8196126316658452,0.21838128762310394,-10.466707940695805,0.0,0.0,0.154587035417061,2.3918087853533276e-06,0.945250766005483,0.004749233994516988,0.0002872826782167815
10,PANEL_ENET,0.00016366532261636224,6.563827613748177e-05,0.22428451976389618,0.9814022343506446,0.2143323290623358,-13.800614161860778,0.0,0.0,0.28987147133279434,1.8706937579405363e-20,0.9322689888727624,0.017731011127237517,0.00024261037857536283
21,PANEL_RIDGE,0.0001267872137254901,6.641540513006295e-05,0.19028262296481066,0.8063457631779577,0.29537045962097874,-13.869201637849928,0.0,0.0,0.1547768611789974,2.141037792185951e-09,0.9476697306885986,0.002330269311401345,0.0002830627720972606
21,PANEL_ENET,0.00012568233199161796,6.43942443282741e-05,0.19712915870854494,0.9717720993205524,0.2837211640655114,-18.715849723839305,0.0,0.0,0.34286153958196974,5.318829937030145e-46,0.9325915174971778,0.01740848250282212,0.00023277944204127014
63,PANEL_RIDGE,9.882056862465468e-05,7.074523135806659e-05,0.18452533336636076,0.6880412750263838,0.32109437479866,-6.3425726326310405,2.3381097058461364e-10,0.0,0.36710761862872165,1.9823685573628965e-73,0.9403322044831479,0.00966779551685204,0.0002684724904157902
63,PANEL_ENET,9.648172305527773e-05,6.883311064686967e-05,0.19698258026057106,0.8298226882243757,0.2760163541399575,-8.837990635130156,0.0,0.0,0.5800221537105141,8.848438909911314e-236,0.9210611191743268,0.028938880825673197,0.00020546808135735823
100,PANEL_RIDGE,8.525198134838094e-05,6.65718917789486e-05,0.17153734364478077,0.726789564095227,0.39525096920029634,-7.670872854670465,1.84297022087776e-14,1.466670238284647e-189,0.3331394292158218,9.056697493912889e-77,0.941380422512498,0.008619577487501973,0.0002556996452767813
100,PANEL_ENET,8.419085626186141e-05,6.602728376227428e-05,0.18798951853883783,0.8945330029375438,0.3187264270423751,-8.890326372784639,0.0,3.686995958338433e-121,0.6108891499701796,0.0,0.9145299145299145,0.035470085470085455,0.00018273883254698952
