crisis_start,crisis_end,has_signal,lead_days,signal,ticker
2002-09-18,2002-10-14,1,58,BOCPD,CAC40_FRANCE
2002-11-08,2002-11-13,1,59,BOCPD,CAC40_FRANCE
2002-12-27,2002-12-31,1,60,BOCPD,CAC40_FRANCE
2003-01-17,2003-06-05,1,59,BOCPD,CAC40_FRANCE
2009-01-14,2009-02-03,1,58,BOCPD,CAC40_FRANCE
2009-02-10,2009-04-16,1,60,BOCPD,CAC40_FRANCE
2009-07-07,2009-07-13,1,56,BOCPD,CAC40_FRANCE
2011-09-09,2011-10-05,1,60,BOCPD,CAC40_FRANCE
2011-11-15,2011-11-29,1,60,BOCPD,CAC40_FRANCE
2011-12-14,2011-12-21,1,58,BOCPD,CAC40_FRANCE
2012-05-14,2012-06-14,1,54,BOCPD,CAC40_FRANCE
