crisis_start,crisis_end,has_signal,lead_days,signal,ticker
2002-10-07,2002-10-15,1,56,BOCPD,NIKKEI225
2002-10-22,2002-11-01,1,57,BOCPD,NIKKEI225
2002-11-08,2002-11-22,1,58,BOCPD,NIKKEI225
2002-12-06,2003-06-10,1,60,BOCPD,NIKKEI225
2008-10-22,2008-10-29,1,57,BOCPD,NIKKEI225
2008-11-11,2008-12-30,1,60,BOCPD,NIKKEI225
2009-01-09,2009-04-08,1,60,BOCPD,NIKKEI225
2009-04-21,2009-04-30,1,57,BOCPD,NIKKEI225
2011-08-19,2011-08-29,1,57,BOCPD,NIKKEI225
2011-09-05,2011-10-26,1,59,BOCPD,NIKKEI225
2011-11-01,2012-02-01,1,60,BOCPD,NIKKEI225
2012-05-18,2012-06-27,1,58,BOCPD,NIKKEI225
2012-07-10,2012-08-07,1,53,BOCPD,NIKKEI225
2012-08-31,2012-09-06,1,60,BOCPD,NIKKEI225
2012-10-01,2012-10-17,1,59,BOCPD,NIKKEI225
2012-11-08,2012-11-15,1,58,BOCPD,NIKKEI225
