ticker,signal,tp,fp,fn,tn,precision,recall,f1,specificity,accuracy,n_crises,n_with_signal,mean_lead,median_lead,frac_lead_ge_0,frac_lead_ge_5
HANG_SENG,HMM,167,2234,101,7002,0.06955435235318617,0.6231343283582089,0.12514050206069688,0.7581203984408835,0.7543139730639731,10,9,32.666666666666664,37.0,0.8888888888888888,0.8888888888888888
HANG_SENG,BOCPD,231,4636,37,4600,0.04746250256831724,0.8619402985074627,0.08997078870496593,0.498051104374188,0.5083122895622896,10,10,58.7,59.0,1.0,1.0
HANG_SENG,EVT,268,8763,0,473,0.02967556195327206,1.0,0.057640606516829763,0.05121264616717194,0.07796717171717171,10,10,59.3,59.5,1.0,1.0
AEX_NETHERLANDS,HMM,78,2928,158,5191,0.02594810379241517,0.3305084745762712,0.04811844540407156,0.6393644537504619,0.6306403351286655,4,4,30.75,42.5,0.75,0.75
AEX_NETHERLANDS,BOCPD,194,4333,42,3786,0.04285398718798321,0.8220338983050848,0.08146126390930085,0.46631358541692325,0.476361460203471,4,4,58.75,58.5,1.0,1.0
AEX_NETHERLANDS,EVT,236,8106,0,13,0.02829057779908895,1.0,0.055024481231056195,0.0016011824116270476,0.029802513464991024,4,4,58.75,58.5,1.0,1.0
CAC40_FRANCE,HMM,61,3569,188,5161,0.01680440771349862,0.24497991967871485,0.03145140500128899,0.5911798396334479,0.5815792404499387,11,9,41.55555555555556,58.0,0.8888888888888888,0.8888888888888888
CAC40_FRANCE,BOCPD,172,4686,77,4044,0.0354055166735282,0.6907630522088354,0.06735852751125906,0.4632302405498282,0.4695400378661321,11,11,58.36363636363637,59.0,1.0,1.0
CAC40_FRANCE,EVT,249,8725,0,5,0.027746824158680634,1.0,0.05399544616719072,0.000572737686139748,0.02828822808776033,11,11,59.45454545454545,60.0,1.0,1.0
STI_SINGAPORE,HMM,114,1137,159,7966,0.09112709832134293,0.4175824175824176,0.1496062992125984,0.8750961221575305,0.8617747440273038,7,7,26.0,23.0,0.8571428571428571,0.8571428571428571
STI_SINGAPORE,BOCPD,254,4376,19,4727,0.05485961123110151,0.9304029304029304,0.1036100346726494,0.5192793584532571,0.53125,7,7,58.285714285714285,59.0,1.0,1.0
STI_SINGAPORE,EVT,271,8102,2,1001,0.032365938134479875,0.9926739926739927,0.0626879481841314,0.10996374821487422,0.1356655290102389,7,7,59.714285714285715,60.0,1.0,1.0
EUROSTOXX50,HMM,14,172,117,4278,0.07526881720430108,0.10687022900763359,0.08832807570977917,0.9613483146067415,0.9369133376991923,8,3,27.333333333333332,29.0,1.0,1.0
EUROSTOXX50,BOCPD,121,2341,10,2109,0.04914703493095045,0.9236641221374046,0.09332819128422676,0.47393258426966295,0.48679327657716653,8,8,59.25,59.0,1.0,1.0
EUROSTOXX50,EVT,131,4438,0,12,0.02867148172466623,1.0,0.05574468085106383,0.002696629213483146,0.03121589172669723,8,8,59.375,59.5,1.0,1.0
NIFTY50,HMM,24,1476,105,2759,0.016,0.18604651162790697,0.029465930018416204,0.6514757969303424,0.6377176901924839,1,1,19.0,19.0,1.0,1.0
NIFTY50,BOCPD,95,2344,34,1891,0.03895038950389504,0.7364341085271318,0.07398753894080996,0.44651711924439197,0.45508707607699356,1,1,58.0,58.0,1.0,1.0
NIFTY50,EVT,129,4231,0,4,0.029587155963302754,1.0,0.05747382490532413,0.0009445100354191264,0.030476626947754354,1,1,58.0,58.0,1.0,1.0
NIKKEI225,HMM,157,3533,275,10908,0.04254742547425474,0.36342592592592593,0.07617661329451723,0.7553493525379129,0.7439655752033887,16,11,48.27272727272727,59.0,1.0,1.0
NIKKEI225,BOCPD,252,4682,180,9759,0.0510741791649777,0.5833333333333334,0.09392471114424152,0.6757842254691503,0.6730989040543266,16,16,58.0625,58.0,1.0,1.0
NIKKEI225,EVT,432,8807,0,5634,0.04675830717610131,1.0,0.08933926171026782,0.3901391870369088,0.4078531567269549,16,16,59.8125,60.0,1.0,1.0
DJIA,HMM,133,1649,104,6552,0.07463524130190796,0.5611814345991561,0.13174839029222385,0.7989269601268139,0.7922493481867742,3,3,57.333333333333336,58.0,1.0,1.0
DJIA,BOCPD,195,4222,42,3979,0.04414761150101879,0.8227848101265823,0.08379888268156425,0.48518473356907693,0.4946669826973216,3,3,59.333333333333336,60.0,1.0,1.0
DJIA,EVT,237,8197,0,4,0.028100545411429926,1.0,0.054664975204705334,0.00048774539690281675,0.028561270443232995,3,3,59.333333333333336,60.0,1.0,1.0
RUSSELL2000,HMM,227,5474,44,3783,0.03981757586388353,0.8376383763837638,0.07602143335565974,0.4086637139462029,0.42086481947942905,5,5,57.4,59.0,1.0,1.0
RUSSELL2000,BOCPD,188,5136,83,4121,0.035311795642374154,0.6937269372693727,0.06720285969615727,0.44517662309603545,0.45224601175482787,5,5,58.4,59.0,1.0,1.0
RUSSELL2000,EVT,271,9253,0,4,0.02845443091138177,1.0,0.05533435426237877,0.0004321054337258291,0.028862300587741394,5,5,58.8,59.0,1.0,1.0
SENSEX,HMM,138,2069,68,4624,0.06252831898504757,0.6699029126213593,0.11438043928719437,0.6908710593157029,0.6902449630381214,5,5,46.6,60.0,1.0,0.8
SENSEX,BOCPD,165,3580,41,3113,0.044058744993324434,0.8009708737864077,0.08352315869400152,0.465112804422531,0.47514132482968546,5,5,58.0,59.0,1.0,1.0
SENSEX,EVT,206,6689,0,4,0.029876722262509064,1.0,0.05801999718349528,0.0005976393246675631,0.030439194086099436,5,5,59.6,60.0,1.0,1.0
NASDAQ,HMM,39,3154,362,10165,0.012214218603194488,0.09725685785536159,0.021702838063439065,0.7631954350927247,0.743731778425656,6,6,9.833333333333334,5.5,0.5,0.5
NASDAQ,BOCPD,282,5493,119,7826,0.04883116883116883,0.7032418952618454,0.09132124352331607,0.5875816502740446,0.5909620991253645,6,6,57.5,59.0,1.0,1.0
NASDAQ,EVT,401,9960,0,3359,0.03870282791236367,1.0,0.07452146441181938,0.25219611081913057,0.27405247813411077,6,6,59.0,59.0,1.0,1.0
SP500,HMM,0,4625,723,19146,0.0,0.0,,0.8054351941441252,0.7816608148934433,9,0,,,,
SP500,BOCPD,0,6114,723,17657,0.0,0.0,,0.7427958436750662,0.7208704172450396,9,0,,,,
SP500,EVT,0,16047,723,7724,0.0,0.0,,0.3249337427958437,0.3153425328651915,9,0,,,,
DAX_GERMANY,HMM,280,5144,0,4065,0.051622418879056046,1.0,0.09817671809256663,0.44141600608100773,0.45789861945410476,3,3,58.666666666666664,58.0,1.0,1.0
DAX_GERMANY,BOCPD,175,4237,105,4972,0.039664551223934724,0.625,0.07459505541346974,0.5399066130958845,0.5424175360944251,3,3,56.333333333333336,58.0,1.0,1.0
DAX_GERMANY,EVT,280,7819,0,1390,0.03457216940363008,1.0,0.06683375104427737,0.1509392985123249,0.17599325534829802,3,3,58.666666666666664,58.0,1.0,1.0
HANG_SENG_CHINA_ENT,HMM,88,1045,130,6623,0.07766990291262135,0.4036697247706422,0.1302738712065137,0.8637193531559729,0.8510017752979965,6,5,19.6,31.0,0.6,0.6
HANG_SENG_CHINA_ENT,BOCPD,179,4030,39,3638,0.04252791636968401,0.8211009174311926,0.08086740456290942,0.4744392279603547,0.4840223180319554,6,6,59.166666666666664,59.0,1.0,1.0
HANG_SENG_CHINA_ENT,EVT,218,7500,0,168,0.02824565949727909,1.0,0.05493951612903226,0.02190923317683881,0.048947501902105,6,6,59.166666666666664,59.0,1.0,1.0
