ticker,thr,TPR,FPR_per_day,mean_delay_days,n_windows,true_positives,false_positives
AEX_NETHERLANDS,0.05,1.0,0.6507211538461538,-9.2,20,20,2707
AEX_NETHERLANDS,0.1,1.0,0.6139423076923077,-9.2,20,20,2554
AEX_NETHERLANDS,0.15,1.0,0.5935096153846153,-9.2,20,20,2469
AEX_NETHERLANDS,0.2,1.0,0.5752403846153846,-9.2,20,20,2393
AEX_NETHERLANDS,0.25,1.0,0.5629807692307692,-9.05,20,20,2342
AEX_NETHERLANDS,0.3,1.0,0.5521634615384615,-9.05,20,20,2297
AEX_NETHERLANDS,0.35,1.0,0.541826923076923,-9.05,20,20,2254
AEX_NETHERLANDS,0.39999999999999997,1.0,0.5288461538461539,-9.05,20,20,2200
AEX_NETHERLANDS,0.44999999999999996,1.0,0.51875,-9.05,20,20,2158
AEX_NETHERLANDS,0.49999999999999994,1.0,0.5110576923076923,-9.05,20,20,2126
AEX_NETHERLANDS,0.5499999999999999,1.0,0.5045673076923077,-8.95,20,20,2099
AEX_NETHERLANDS,0.6,1.0,0.49447115384615387,-8.95,20,20,2057
AEX_NETHERLANDS,0.65,1.0,0.4858173076923077,-8.9,20,20,2021
AEX_NETHERLANDS,0.7,1.0,0.4757211538461538,-8.7,20,20,1979
AEX_NETHERLANDS,0.75,1.0,0.46298076923076925,-8.45,20,20,1926
AEX_NETHERLANDS,0.7999999999999999,1.0,0.4478365384615385,-7.8,20,20,1863
AEX_NETHERLANDS,0.85,1.0,0.4338942307692308,-7.2,20,20,1805
AEX_NETHERLANDS,0.9,1.0,0.4170673076923077,-7.2,20,20,1735
AEX_NETHERLANDS,0.95,1.0,0.38485576923076925,-6.3,20,20,1601
CAC40_FRANCE,0.05,1.0,0.6424592120970951,-9.583333333333334,24,24,3229
CAC40_FRANCE,0.1,1.0,0.6062475129327497,-9.458333333333334,24,24,3047
CAC40_FRANCE,0.15,1.0,0.5813768404297652,-9.458333333333334,24,24,2922
CAC40_FRANCE,0.2,1.0,0.5650616792678074,-9.416666666666666,24,24,2840
CAC40_FRANCE,0.25,1.0,0.5509351372861122,-9.416666666666666,24,24,2769
CAC40_FRANCE,0.3,1.0,0.5382013529645842,-9.291666666666666,24,24,2705
CAC40_FRANCE,0.35,1.0,0.5274572224432948,-9.291666666666666,24,24,2651
CAC40_FRANCE,0.39999999999999997,1.0,0.5189017111022682,-9.291666666666666,24,24,2608
CAC40_FRANCE,0.44999999999999996,1.0,0.5105451651412655,-9.291666666666666,24,24,2566
CAC40_FRANCE,0.49999999999999994,1.0,0.5019896538002387,-9.208333333333334,24,24,2523
CAC40_FRANCE,0.5499999999999999,1.0,0.493633107839236,-9.208333333333334,24,24,2481
CAC40_FRANCE,0.6,1.0,0.48388380421806604,-9.0,24,24,2432
CAC40_FRANCE,0.65,1.0,0.4729407083167529,-8.958333333333334,24,24,2377
