Date,micro,macro
2007-09-17,1,0
2007-09-18,25,0
2007-09-19,25,0
2007-09-20,1,0
2007-09-21,1,0
2007-09-24,33,0
2007-09-25,26,0
2007-09-26,33,0
2007-09-27,33,0
2007-09-28,26,0
2007-10-01,19,0
2007-10-02,33,0
2007-10-03,28,0
2007-10-04,33,0
2007-10-05,33,0
2007-10-08,24,0
2007-10-09,33,0
2007-10-10,33,0
2007-10-11,33,0
2007-10-12,26,0
2007-10-15,24,0
2007-10-16,27,0
2007-10-17,16,0
2007-10-18,16,0
2007-10-19,16,0
2007-10-22,26,0
2007-10-23,14,0
2007-10-24,16,0
2007-10-25,16,0
2007-10-26,16,0
2007-10-29,14,0
2007-10-30,28,0
2007-10-31,33,0
2007-11-01,23,0
2007-11-02,26,0
2007-11-05,33,0
2007-11-06,28,0
2007-11-07,26,0
2007-11-08,30,0
2007-11-09,23,0
2007-11-12,30,0
2007-11-13,30,0
2007-11-14,30,0
2007-11-15,30,0
2007-11-16,30,0
2007-11-19,30,0
2007-11-20,30,0
2007-11-21,30,0
2007-11-22,30,0
2007-11-23,0,0
2007-11-26,30,0
2007-11-27,30,0
2007-11-28,23,0
2007-11-29,1,0
2007-11-30,47,0
2007-12-03,27,0
2007-12-04,47,0
2007-12-05,24,0
2007-12-06,47,0
2007-12-07,16,0
2007-12-10,47,0
2007-12-11,16,0
2007-12-12,4,0
2007-12-13,39,0
2007-12-14,29,0
2007-12-17,25,0
2007-12-18,4,0
2007-12-19,29,0
2007-12-20,29,0
2007-12-21,4,0
2007-12-27,9,0
2007-12-28,9,0
2007-12-31,9,0
2008-01-03,9,0
2008-01-04,9,0
2008-01-07,9,0
2008-01-08,9,0
2008-01-09,9,0
2008-01-10,9,0
2008-01-11,9,0
2008-01-14,9,0
2008-01-15,11,1
2008-01-16,9,0
2008-01-17,9,0
2008-01-18,9,0
2008-01-21,9,0
2008-01-22,9,0
2008-01-23,9,0
2008-01-24,9,0
2008-01-25,9,0
2008-01-28,32,0
2008-01-29,32,0
2008-01-30,32,0
2008-01-31,32,0
2008-02-01,32,0
2008-02-04,32,0
2008-02-05,31,0
2008-02-06,40,0
2008-02-07,40,0
2008-02-08,40,0
2008-02-11,40,0
2008-02-12,40,0
2008-02-13,40,0
2008-02-14,40,0
2008-02-15,40,0
2008-02-18,40,0
2008-02-19,2,0
2008-02-20,19,0
2008-02-21,2,0
2008-02-22,2,0
2008-02-25,29,0
2008-02-26,25,0
2008-02-27,2,0
2008-02-28,2,0
2008-02-29,4,0
2008-03-03,4,0
2008-03-04,4,0
2008-03-05,29,0
2008-03-06,4,0
2008-03-07,4,0
2008-03-10,4,0
2008-03-11,4,0
2008-03-12,4,0
2008-03-13,4,0
2008-03-14,2,0
2008-03-17,20,0
2008-03-18,20,0
2008-03-19,2,0
2008-03-25,20,0
2008-03-26,1,0
2008-03-27,2,0
2008-03-28,1,0
2008-03-31,2,0
2008-04-01,20,0
2008-04-02,2,0
2008-04-03,2,0
2008-04-04,1,0
2008-04-07,1,0
2008-04-08,1,0
2008-04-09,33,0
2008-04-10,19,0
2008-04-11,23,0
2008-04-14,33,0
2008-04-15,19,0
2008-04-16,19,0
2008-04-17,47,0
2008-04-18,42,0
2008-04-21,47,0
2008-04-22,47,0
2008-04-23,4,0
2008-04-24,4,0
2008-04-25,1,0
2008-04-28,1,0
2008-04-29,27,0
2008-04-30,4,0
2008-05-02,26,0
2008-05-05,27,0
2008-05-06,47,0
2008-05-07,26,0
2008-05-08,16,0
2008-05-09,26,0
2008-05-13,47,0
2008-05-14,47,0
2008-05-15,16,0
2008-05-16,16,0
2008-05-19,16,0
2008-05-20,24,0
2008-05-21,47,0
2008-05-22,47,0
2008-05-23,42,0
2008-05-26,16,0
2008-05-27,47,0
2008-05-28,47,0
2008-05-29,16,0
2008-05-30,16,0
2008-06-02,42,0
2008-06-03,16,0
2008-06-04,47,0
2008-06-05,47,0
2008-06-06,23,0
2008-06-09,47,0
2008-06-10,47,0
2008-06-11,23,0
2008-06-12,1,0
2008-06-13,47,0
2008-06-16,47,0
2008-06-17,47,0
2008-06-18,47,0
2008-06-19,47,0
2008-06-20,23,0
2008-06-23,47,0
2008-06-24,47,0
2008-06-25,39,0
2008-06-26,39,0
2008-06-27,4,0
2008-06-30,4,0
2008-07-01,4,0
2008-07-02,4,0
2008-07-03,23,0
2008-07-07,20,0
2008-07-08,2,0
2008-07-09,39,0
2008-07-10,1,0
2008-07-11,20,0
2008-07-14,1,0
2008-07-15,2,0
2008-07-16,2,0
2008-07-17,2,0
2008-07-18,20,0
2008-07-21,2,0
2008-07-22,2,0
2008-07-23,1,0
2008-07-24,48,0
2008-07-25,4,0
2008-07-28,24,0
2008-07-29,23,0
2008-07-30,26,0
2008-07-31,4,0
2008-08-04,42,0
2008-08-05,48,0
2008-08-06,1,0
2008-08-07,4,0
2008-08-08,4,0
2008-08-11,1,0
2008-08-12,1,0
2008-08-13,5,0
2008-08-14,4,0
2008-08-15,1,0
2008-08-18,4,0
2008-08-19,39,0
2008-08-20,4,0
2008-08-21,1,0
2008-08-22,4,0
2008-08-25,1,0
2008-08-26,48,0
2008-08-27,4,0
2008-08-28,48,0
2008-08-29,1,0
2008-09-01,4,0
2008-09-02,4,0
2008-09-03,1,0
2008-09-04,20,0
2008-09-05,4,0
2008-09-08,23,0
2008-09-09,48,0
2008-09-10,1,0
2008-09-11,4,0
2008-09-12,48,0
2008-09-15,2,0
2008-09-16,2,0
2008-09-17,23,0
2008-09-18,40,0
2008-09-19,46,1
2008-09-22,22,0
2008-09-23,22,0
2008-09-24,22,0
2008-09-25,31,0
2008-09-26,22,0
2008-09-29,31,0
2008-09-30,15,0
2008-10-01,15,0
2008-10-02,15,0
2008-10-03,22,0
2008-10-06,15,0
2008-10-07,12,0
2008-10-08,12,0
2008-10-09,12,0
2008-10-10,12,0
2008-10-13,12,0
2008-10-14,38,0
2008-10-15,38,0
2008-10-16,38,0
2008-10-17,38,0
2008-10-20,12,0
2008-10-21,12,0
2008-10-22,12,0
2008-10-23,12,0
2008-10-24,12,0
2008-10-28,12,0
2008-10-29,12,0
2008-10-30,12,0
2008-10-31,15,0
2008-11-03,15,0
2008-11-04,31,0
2008-11-05,15,0
2008-11-06,31,0
2008-11-07,12,0
2008-11-10,15,0
2008-11-11,31,0
2008-11-12,15,0
2008-11-13,15,0
2008-11-14,15,0
2008-11-17,15,0
2008-11-18,15,0
2008-11-19,46,1
2008-11-20,15,0
2008-11-21,15,0
2008-11-24,31,0
2008-11-25,15,0
2008-11-26,15,0
2008-11-27,15,0
2008-11-28,15,0
2008-12-01,31,0
2008-12-02,12,0
2008-12-03,12,0
2008-12-04,12,0
2008-12-05,15,0
2008-12-08,31,0
2008-12-09,12,0
2008-12-10,12,0
2008-12-11,12,0
2008-12-12,15,0
2008-12-15,15,0
2008-12-16,15,0
2008-12-17,15,0
2008-12-18,15,0
2008-12-19,23,0
2008-12-22,30,0
2008-12-23,23,0
2008-12-29,9,0
2008-12-30,9,0
2009-01-05,9,0
2009-01-06,9,0
2009-01-07,9,0
2009-01-08,9,0
2009-01-09,9,0
2009-01-12,9,0
2009-01-13,9,0
2009-01-14,9,0
2009-01-15,9,0
2009-01-16,9,0
2009-01-19,9,0
2009-01-20,9,0
2009-01-21,9,0
2009-01-22,9,0
2009-01-23,9,0
2009-01-26,9,0
2009-01-27,9,0
2009-01-28,9,0
2009-01-29,9,0
2009-01-30,9,0
2009-02-02,22,0
2009-02-03,48,0
2009-02-04,48,0
2009-02-05,48,0
2009-02-06,48,0
2009-02-09,48,0
2009-02-10,48,0
2009-02-11,47,0
2009-02-12,48,0
2009-02-13,48,0
2009-02-17,48,0
2009-02-18,15,0
2009-02-19,48,0
2009-02-20,15,0
2009-02-23,15,0
2009-02-24,48,0
2009-02-25,48,0
2009-02-26,48,0
2009-02-27,48,0
2009-03-02,48,0
2009-03-03,48,0
2009-03-04,48,0
2009-03-05,15,0
2009-03-06,15,0
2009-03-09,15,0
2009-03-10,15,0
2009-03-11,15,0
2009-03-12,15,0
2009-03-13,15,0
2009-03-16,31,0
2009-03-17,15,0
2009-03-18,48,0
2009-03-19,48,0
2009-03-20,48,0
2009-03-23,20,0
2009-03-24,48,0
2009-03-25,48,0
2009-03-26,4,0
2009-03-27,48,0
2009-03-30,20,0
2009-03-31,5,0
2009-04-01,48,0
2009-04-02,31,0
2009-04-03,15,0
2009-04-06,15,0
2009-04-07,48,0
2009-04-08,15,0
2009-04-09,48,0
2009-04-14,48,0
2009-04-15,48,0
2009-04-16,48,0
