Date,rho,state_id,state,p_hmm_crisis,p_change,p_evt,macro,macro_norm,vov_21,vov_norm,vdi,vdi_norm
1987-10-12,0.5656910229491019,1,WATCH,1.0,1.0,0.0,0,0.0,4.221253772130999,1.0,0.5587282712895647,0.15691022949101846
1987-10-13,0.55,1,WATCH,1.0,1.0,0.0,0,0.0,4.1980335339597294,1.0,0.1787838256632234,0.0
1987-10-14,0.5837577235587371,1,WATCH,1.0,1.0,0.0,0,0.0,4.191827050514289,1.0,0.900823568212225,0.337577235587371
1987-10-15,0.55,1,WATCH,1.0,1.0,0.0,0,0.0,4.107696808370762,1.0,0.2020800909550127,0.0
1987-10-16,0.65,2,STRESS,1.0,1.0,0.0,0,0.0,1.6755942270777655,1.0,2.2041399959579167,1.0
1987-10-19,0.6419522426494213,2,STRESS,1.0,1.0,0.0,1,0.5,1.77324371854,1.0,0.5826096283335502,0.16952242649421292
1987-10-26,0.7881183482971066,2,STRESS,1.0,1.0,0.0,2,1.0,2.279919464968175,1.0,1.9301489808919483,0.8811834829710659
1987-10-27,0.6044723976585225,2,STRESS,1.0,1.0,0.0,0,0.0,2.314189549832474,1.0,1.2930585833340722,0.5447239765852235
1987-10-28,0.6814337343742128,2,STRESS,1.0,1.0,0.0,1,0.5,2.479279244282213,1.0,1.3301967460023365,0.5643373437421287
1987-10-29,0.7999999999999999,2,STRESS,1.0,1.0,0.0,2,1.0,2.596263357492644,1.0,6.210627085643091,1.0
1987-10-30,0.6123740429648561,2,STRESS,1.0,1.0,0.0,0,0.0,2.6419601785431306,1.0,1.4426772522683535,0.623740429648561
1987-11-02,0.5548565854168395,1,WATCH,1.0,1.0,0.0,0,0.0,2.6368892648866327,1.0,0.3535768048058251,0.04856585416839373
1987-11-03,0.5532105794439998,1,WATCH,1.0,1.0,0.0,0,0.0,2.636612514140359,1.0,0.3224094702613682,0.03210579443999742
1987-11-04,0.725,2,STRESS,1.0,1.0,0.0,1,0.5,2.702132403212631,1.0,3.122892167508811,1.0
1987-11-05,0.5841735632842066,1,WATCH,1.0,1.0,0.0,0,0.0,2.705424921045923,1.0,0.90869754683347,0.3417356328420653
1987-11-06,0.5669813706980308,1,WATCH,1.0,1.0,0.0,0,0.0,2.514270341451468,1.0,0.5831611716758082,0.16981370698030698
1987-11-09,0.725,2,STRESS,1.0,1.0,0.0,1,0.5,2.510983231403048,1.0,3.442407341077568,1.0
1987-11-10,0.5792288648628162,1,WATCH,1.0,1.0,0.0,0,0.0,2.5049441464443145,1.0,0.8150690470200394,0.2922886486281618
1987-11-11,0.5638292024546832,1,WATCH,1.0,1.0,0.0,0,0.0,2.45260032117673,1.0,0.5234744610551058,0.1382920245468313
1987-11-12,0.725,2,STRESS,1.0,1.0,0.0,1,0.5,2.2981561091085405,1.0,2.538967325456589,1.0
1987-11-13,0.725,2,STRESS,1.0,1.0,0.0,1,0.5,2.3258978256620653,1.0,2.6511781377725203,1.0
1987-11-16,0.6496260531184622,2,STRESS,1.0,1.0,0.0,1,0.5,2.3197705346650834,1.0,0.72791421535564,0.24626053118462266
1987-11-17,0.55,1,WATCH,1.0,1.0,0.0,0,0.0,2.3465573561981943,1.0,0.0481110142049096,0.0
1987-11-18,0.6945192144151728,2,STRESS,1.0,1.0,0.0,1,0.5,2.249029693497762,1.0,1.5779719915610293,0.6951921441517288
1987-11-19,0.5710153062220946,1,WATCH,1.0,1.0,0.0,0,0.0,2.200471325900873,1.0,0.6595442590302056,0.21015306222094624
1987-11-20,0.725,2,STRESS,1.0,1.0,0.0,1,0.5,2.203091297185927,1.0,2.562255683653558,1.0
1987-11-23,0.649400605190549,2,STRESS,1.0,1.0,0.0,1,0.5,2.187326287420466,1.0,0.7236453298791762,0.24400605190548982
1987-11-24,0.5601123716855804,1,WATCH,1.0,1.0,0.0,0,0.0,1.8874461176642705,1.0,0.4530957929717158,0.1011237168558034
1987-11-25,0.6836959947218331,2,STRESS,1.0,1.0,0.0,1,0.5,1.8743682748250112,1.0,1.373032936298353,0.5869599472183308
1987-11-26,0.5980643752186737,1,WATCH,1.0,1.0,0.0,0,0.0,1.7890795075247063,1.0,1.1717218552500306,0.48064375218673666
1987-11-27,0.54999999872894,1,WATCH,1.0,0.9999999936447002,0.0,0,0.0,1.670398110200159,1.0,0.0999784847511366,0.0
1987-11-30,0.5126395528609452,1,WATCH,0.9999961339026324,0.9999998238813984,0.0,0,0.0,1.1566083439122037,0.441339429908963,0.6120418044325844,0.18506611618111113
1987-12-01,0.6711865170390952,2,STRESS,0.9999972937318428,1.0,0.0,1,0.5,1.1727284467348806,0.46198879328799514,2.154908311563675,0.9998831427733496
1987-12-02,0.5453725409421051,1,WATCH,0.999998073263384,0.9999999992250426,0.0,0,0.0,1.1991936750599803,0.4958899490439783,1.1285431853953376,0.4578402787685276
1987-12-03,0.5094726262164714,1,WATCH,0.9999775327727616,0.9999701633429402,0.0,0,0.0,1.1099708027576416,0.3815981525115035,0.6653968967065078,0.21324395103542557
1987-12-04,0.6634658601817397,2,STRESS,0.999984272940933,1.0,0.0,1,0.5,1.1271173585879852,0.4035623710983443,2.119409500719921,0.9811355483667192
1987-12-07,0.5117842950397666,1,WATCH,0.999984482737478,0.9999999957443344,0.0,0,0.0,1.107266087722148,0.37813349448673766,0.7155831416247914,0.23974825757856524
1987-12-08,0.6205074094348053,2,STRESS,0.9999891350633316,1.0,0.0,1,0.5,1.142348727087834,0.4230732927328436,1.2690185203271582,0.5320279639568805
1987-12-09,0.6482055256410493,2,STRESS,0.9999923945421492,1.0,0.0,1,0.5,1.1784405602731227,0.46930583768969214,1.7059285613902084,0.7627684323654279
1987-12-10,0.5230061674891516,1,WATCH,0.9999941209182232,0.9999974638258494,0.0,0,0.0,1.2253772237941425,0.5294302817770745,0.6415522911088892,0.20065116316718426
1987-12-11,0.6824412773151165,2,STRESS,0.999995884642756,1.0,0.0,1,0.5,1.2605012236391844,0.5744230615442754,2.2278913639245137,1.0
