Date,p_change,expected_runlen,p_evt,TRS,regime
1988-02-08,1.0,0.0,0.0,0.03231669884930756,MEDIUM
1988-02-09,0.0020000403708275,0.9979999596291724,0.0,0.002215576612274313,LOW
1988-02-10,0.9999996222393618,7.550897474528983e-07,0.0,0.032316687704278445,MEDIUM
1988-02-11,0.050784335598683,0.9492220947149186,0.0,0.0036310213535381804,LOW
1988-02-12,0.6355372141947531,0.4891823292669667,0.0,0.04261092612443068,MEDIUM
1988-02-16,0.0506337340865605,1.0882473899918113,0.0,0.010879899977492098,LOW
1988-02-17,0.0022061729359098,2.294154122336055,0.0,0.00888612857116365,LOW
1988-02-18,0.0020041128877212,3.6001712197128706,0.0,0.011078471361661306,LOW
1988-02-19,0.9595796599499422,0.1566527336063417,0.0,0.031120323406952723,LOW
1988-02-22,0.3329817478213682,2.065613038252029,0.0,0.012037362429638373,LOW
1988-02-23,0.0020048567044646,4.672234504652455,0.0,0.004431431524256907,LOW
1988-02-24,0.9820401703357868,0.0878703703604558,0.0,0.03178606453338139,LOW
1988-02-25,0.0526428778080117,2.469910276160285,0.0,0.0036851824455377126,LOW
1988-02-26,0.0020035547470193,7.217917316922449,0.0,0.004431356293902034,LOW
1988-02-29,0.999978989199102,0.0001294654518922,0.0,0.03231607896900275,MEDIUM
1988-03-01,0.0314944311557796,0.9687214230696444,0.0,0.0030699039185775614,LOW
1988-03-02,0.9999998571847356,2.687456880823971e-07,0.0,0.03231669463584515,MEDIUM
1988-03-03,0.0678330663036472,0.9321777989393764,0.0,0.0041284972660253555,LOW
1988-03-04,0.6069066278461642,0.4220121856379626,0.0,0.04085257635510536,MEDIUM
1988-03-07,0.9940183440611698,0.0073809297396715,0.0,0.03214013728547232,LOW
1988-03-08,0.9998683408105916,0.0001320603580915,0.0,0.06462562896374843,MEDIUM
1988-03-09,0.9999995395494355,4.604562619770214e-07,0.0,0.0969500557940606,HIGH
1988-03-10,0.9985554730210618,0.0014445363276734,0.0,0.12909630458073404,HIGH
1988-03-11,0.9975135349367774,0.0024868039917359,0.0,0.16121663087242954,HIGH
1988-03-14,0.0192929177854063,0.9833620871096994,0.0,0.002715945135171645,LOW
1988-03-15,0.1544671384737677,1.3080232895661166,0.0,0.013356923032947188,LOW
1988-03-16,0.9999987645227836,3.5818501074756e-06,0.0,0.03231666239916132,MEDIUM
1988-03-17,0.9999999806638152,1.9336184901727027e-08,0.0,0.06463339655766863,MEDIUM
1988-03-18,0.9985016722484134,0.0014983281869339,0.0,0.09681746546578239,HIGH
1988-03-21,0.9876742471089194,0.0123258160652238,0.0,0.12781076573324063,HIGH
1988-03-22,0.979623826700738,0.0221655070316558,0.0,0.15857277881901227,HIGH
1988-03-23,0.9996307815036602,0.000373124827031,0.0,0.19383483307343263,HIGH
1988-03-24,0.999996729375312,3.270916968804504e-06,0.0,0.2262162164949189,HIGH
1988-03-25,0.9999508803482664,4.9119730319015314e-05,0.0,0.2585219973766777,HIGH
1988-03-28,0.9994889147914746,0.0005111092761054,0.0,0.29071457762546443,HIGH
1988-03-29,0.996776662850578,0.0032253693762384,0.0,0.3222157626815404,HIGH
1988-03-30,0.121685088717661,0.8794442652725508,0.0,0.005709306511536972,LOW
1988-03-31,0.9998460835797472,0.000291580752634,0.0,0.03231215781413931,MEDIUM
1988-04-04,0.9999830671147292,1.6943066119356772e-05,0.0,0.0646323985592998,MEDIUM
1988-04-05,0.0298836105211508,0.9701506498200524,0.0,0.0030231319503259816,LOW
1988-04-06,0.9999845954564192,3.0805372577253535e-05,0.0,0.032316244370257693,MEDIUM
1988-04-07,0.9433555984971208,0.0566458609723443,0.0,0.06127598247879107,MEDIUM
1988-04-08,0.9999998902008614,1.501415451303447e-07,0.0,0.0969500868297484,HIGH
1988-04-11,0.8836485136261408,0.1163519433110841,0.0,0.11541190391788321,HIGH
1988-04-12,0.999994764544571,7.901976534295814e-06,0.0,0.16158272194100526,HIGH
1988-04-13,0.1239797582313795,0.8761309308327561,0.0,0.0057769790618404995,LOW
1988-04-14,0.9999999922355474,1.481055522551825e-08,0.0,0.0323166986202338,MEDIUM
1988-04-15,0.999989889603026,1.0110396974067643e-05,0.0,0.0646328011263618,MEDIUM
1988-04-18,0.991838863338619,0.0081611380649746,0.0,0.09622728840891039,HIGH
1988-04-19,0.9972813324986808,0.0027260565035184,0.0,0.12894589057660985,HIGH
1988-04-20,0.9973146998173372,0.0026896247849225,0.0,0.16118728753615144,HIGH
1988-04-21,0.5183684898172156,0.4834173932113402,0.0,0.017705606036178278,LOW
1988-04-22,0.3292398897461516,1.1191635083298703,0.0,0.023847609735932324,LOW
1988-04-25,0.27788476616694,1.5666169808088246,0.0,0.031110173398255746,LOW
1988-04-26,0.9958113065946752,0.0128238041555041,0.0,0.03219307838214872,MEDIUM
1988-04-27,0.9994015712833804,0.0006012003592095,0.0,0.06459808523771547,MEDIUM
1988-04-28,0.221398810445628,0.782875277441182,0.0,0.008672479100655285,LOW
1988-04-29,0.9960515951715396,0.0040897233872389,0.0,0.032200172258087606,MEDIUM
1988-05-02,0.2046701344314837,0.8194839086664693,0.0,0.008172247955107589,LOW
1988-05-03,0.9951478670509868,0.0059414050332756,0.0,0.03217349067957223,MEDIUM
1988-05-04,0.0156739559157786,1.0317962159959315,0.0,0.0026111056141406154,LOW
1988-05-05,0.1907898762159589,2.120222858113471,0.0,0.015516225027631614,LOW
1988-05-06,0.0129194395856613,2.923860354870234,0.0,0.007594058970477726,LOW
1988-05-09,0.9987162508378964,0.0054673647577361,0.0,0.03227882060353299,MEDIUM
1988-05-10,0.5258786012206498,0.4802209352313449,0.0,0.017936327595137642,LOW
1988-05-11,0.9999999842465844,3.067211138442375e-08,0.0,0.032316698384536345,MEDIUM
1988-05-12,0.8592213274519267,0.1407787885991786,0.0,0.0562368667223592,MEDIUM
1988-05-13,0.9863747599630824,0.0155658224063625,0.0,0.09574281781775555,HIGH
1988-05-16,0.0515323282498859,0.9546444182603938,0.0,0.003652817056946511,LOW
1988-05-17,0.9924899369468398,0.0149506119132599,0.0,0.032094995678610676,LOW
1988-05-18,0.99999607638161,3.943430393304912e-06,0.0,0.06463316618241494,MEDIUM
1988-05-19,0.9999317363292102,6.826415112235939e-05,0.0,0.09694405458873058,HIGH
1988-05-20,0.7836787506118983,0.2163238029127874,0.0,0.10333171157410928,HIGH
1988-05-23,0.9999999993047816,1.3015719273520811e-09,0.0,0.16158349414398304,HIGH
1988-05-24,0.8727045175495989,0.1272954836080957,0.0,0.1711450461255763,HIGH
1988-05-25,0.9938388833259304,0.0061624508209977,0.0,0.22494386233455457,HIGH
1988-05-26,0.99995472551411,4.550746614628843e-05,0.0,0.25852290493151914,HIGH
1988-05-27,0.8809167308826497,0.1191501784114577,0.0,0.25893852607376655,HIGH
1988-05-31,0.9999999999583478,7.684303597595772e-11,0.0,0.32316698848078695,HIGH
1988-06-01,0.9999999930663092,6.93369084340305e-09,0.0,0.35548368509218037,HIGH
1988-06-02,0.999322206460126,0.000677793539874,0.0,0.3875604106237474,HIGH
1988-06-03,0.9999999883840446,1.163241774647312e-08,0.0,0.4201170805858436,HIGH
1988-06-06,0.9999968408956706,3.159104329353989e-06,0.0,0.4524324790522747,HIGH
1988-06-07,0.9540129116216536,0.0459870986150931,0.0,0.46432442906622623,HIGH
1988-06-08,0.9999999997136162,5.100672634378326e-10,0.0,0.5170671814537345,HIGH
1988-06-09,0.9999996529283808,3.470716192470701e-07,0.0,0.5493837063647827,HIGH
1988-06-10,0.999999975859804,2.4141717364815212e-08,0.0,0.5817005664678382,HIGH
1988-06-13,0.699754678513029,0.3002453471952189,0.0,0.023273667640864665,LOW
1988-06-14,0.999087166237579,0.0009189733208402,0.0,0.032289765626412,MEDIUM
1988-06-15,0.9606239535508988,0.0394530354081929,0.0,0.0623026571446821,MEDIUM
1988-06-16,0.9999017213140972,0.0001129580623018,0.0,0.09694139796420904,HIGH
1988-06-17,0.9974199106225928,0.0025803299527196,0.0,0.12896225141373027,HIGH
1988-06-20,0.9780552357844066,0.0219649821057729,0.0,0.1583406027121371,HIGH
1988-06-21,0.7923561584068974,0.2111472445342051,0.0,0.15657861967560574,HIGH
1988-06-22,0.956917266679326,0.0625368988815393,0.0,0.2172887787617602,HIGH
1988-06-23,0.4441389415669296,0.5952018598175456,0.0,0.015428179960716402,LOW
1988-06-24,0.003092924956382,1.6174918586208549,0.0,0.004494308823649884,LOW
1988-06-27,0.260586751759379,2.039839788887837,0.0,0.02954657246494512,LOW
1988-06-28,0.9201815137777278,0.2160486337114736,0.0,0.029946995839982362,LOW
1988-06-29,0.018759046414113,1.1884195851623427,0.0,0.0027004749890421394,LOW
1988-06-30,0.9996103140250392,0.000893017862947,0.0,0.032305201625407565,MEDIUM
1988-07-01,0.0047777665827361,1.007958217869995,0.0,0.0022958480515520847,LOW
1988-07-05,0.0118748885978894,1.9145019400934564,0.0,0.00500223941964901,LOW
1988-07-06,0.02853613179532,2.278987483155346,0.0,0.008952049345405383,LOW
1988-07-07,0.0279584483753625,3.004377744740276,0.0,0.01186899950018444,LOW
1988-07-08,0.0055574045982434,3.920532038391973,0.0,0.011591926220393982,LOW
1988-07-11,0.0020006718238277,4.844406352004922,0.0,0.013293569134369281,LOW
1988-07-12,0.0238987716864104,5.670223027662315,0.0,0.019946290342775504,LOW
