ticker,rows,P_LOW->LOW,P_LOW->MEDIUM,P_LOW->HIGH,P_MEDIUM->LOW,P_MEDIUM->MEDIUM,P_MEDIUM->HIGH,P_HIGH->LOW,P_HIGH->MEDIUM,P_HIGH->HIGH,stationary_LOW,mean_duration_LOW,median_duration_LOW,weibull_LOW_k,weibull_LOW_lambda,weibull_LOW_ll_weib,weibull_LOW_ll_exp,weibull_LOW_lr,weibull_LOW_pval,weibull_LOW_n,stationary_MEDIUM,mean_duration_MEDIUM,median_duration_MEDIUM,weibull_MEDIUM_k,weibull_MEDIUM_lambda,weibull_MEDIUM_ll_weib,weibull_MEDIUM_ll_exp,weibull_MEDIUM_lr,weibull_MEDIUM_pval,weibull_MEDIUM_n,stationary_HIGH,mean_duration_HIGH,median_duration_HIGH,weibull_HIGH_k,weibull_HIGH_lambda,weibull_HIGH_ll_weib,weibull_HIGH_ll_exp,weibull_HIGH_lr,weibull_HIGH_pval,weibull_HIGH_n
AEX_NETHERLANDS,8342,0.6892086330935252,0.28872901678657076,0.022062350119904078,0.47158789166224113,0.3308550185873606,0.1975570897503983,0.17875874125874125,0.02403846153846154,0.7972027972027972,0.5001233676865648,3.2158828064764844,2.0,1.2360685002760892,3.479286028523854,-2761.1390557470586,-2812.0281771150103,101.7782427359034,0.0,1297,0.22564935013170334,1.4944444444444445,1.0,1.7345223766942768,1.6852911412881317,-1432.5060184896868,-1766.2107061766524,667.4093753739312,0.0,1260,0.2742272821817318,4.931034482758621,2.0,0.8005755340248585,4.1673137301931495,-1176.0859906489254,-1204.334643326873,56.49730535589515,5.6288307348495437e-14,464
CAC40_FRANCE,8974,0.6897012929112796,0.2862238074008025,0.024074899687917966,0.4737646459500764,0.3183902190524707,0.20784513499745289,0.18343898573692552,0.020998415213946117,0.7955625990491284,0.5001145129227295,3.221105527638191,2.0,1.2646759294928007,3.503919499637319,-2956.579392545397,-3022.4264126492753,131.6940402077571,0.0,1393,0.2186730583013371,1.4671150971599403,1.0,1.776248532307804,1.6570965240167779,-1480.24203291996,-1850.8526619011282,741.2212579623365,0.0,1338,0.2812124287759335,4.891472868217054,1.0,0.7946595333366774,4.1075773326746985,-1301.7453689286535,-1335.146624420643,66.80251098397912,3.3306690738754696e-16,516
DAX_GERMANY,8099,0.6627964426877471,0.31200592885375494,0.025197628458498024,0.4846398305084746,0.3066737288135593,0.2086864406779661,0.20860314523589268,0.020814061054579093,0.7705827937095282,0.5000513663509601,2.9641288433382136,2.0,1.2448372836693518,3.214592788721613,-2792.566205768572,-2850.2726182813476,115.41282502555077,0.0,1366,0.23304236563084546,1.442322383498854,1.0,1.757241367466147,1.6231676515643207,-1416.2015129535882,-1788.4272462613699,744.4514666155633,0.0,1309,0.2669062680181943,4.358870967741935,1.0,0.8465895162459324,3.8910961744404164,-1210.3443394586157,-1226.217683451216,31.74668798520088,1.756485423776155e-08,496
DJIA,8434,0.7222485768500949,0.25782732447817835,0.019924098671726755,0.4406485234510712,0.3370005790387956,0.22235089751013318,0.1650602409638554,0.02289156626506024,0.8120481927710843,0.5001443053959846,3.598122866894198,2.0,1.203869237872869,3.8637941112453675,-2637.225825557696,-2672.6431963904533,70.83474166551423,0.0,1172,0.20468755310080447,1.508296943231441,1.0,1.5262073121907367,1.6935909276829306,-1412.143584629413,-1615.5734306712977,406.85969208376946,0.0,1145,0.29516814150321086,5.32051282051282,2.0,0.8085710836852944,4.564718714186175,-1225.486854918066,-1250.2946165772378,49.61552331834355,1.8702817072835387e-12,468
EUROSTOXX50,4569,0.6513359614542269,0.3263250109505037,0.022339027595269383,0.5022381378692927,0.3052820053715309,0.19247985675917637,0.20205479452054795,0.025684931506849314,0.7722602739726028,0.5000812304619268,2.8657465495608534,2.0,1.2719924454224094,3.122629914831836,-1596.999317314357,-1636.1046269125916,78.210619196469,0.0,797,0.2443485249366389,1.4394329896907216,1.0,2.0135962354114887,1.6272762901443654,-777.3389897847665,-1058.6574404155222,562.6369012615114,0.0,776,0.25557024460143435,4.390977443609023,2.0,0.8228846940279947,3.782666788693412,-646.2521901107909,-659.560793325322,26.617206429062207,2.4802501319420855e-07,266
HANG_SENG_CHINA_ENT,7718,0.6817003628823225,0.29341627786417834,0.024883359253499222,0.44881889763779526,0.3357705286839145,0.21541057367829022,0.2071119654012494,0.023065833733781835,0.7698222008649688,0.5001304328413194,3.1399511798209927,2.0,1.2024533844077763,3.3747583647698947,-2597.2546370372875,-2635.2307126730766,75.95215127157826,0.0,1229,0.2302886651671161,1.5055038103302285,1.0,1.67591117503008,1.6977339790960246,-1382.8301178936722,-1664.179695454132,562.6991551209194,0.0,1181,0.2695809019915645,4.34446764091858,1.0,0.7988720917380795,3.6130200457550408,-1149.1028086257706,-1182.6046466827224,67.00367611390357,2.220446049250313e-16,479
HANG_SENG,9031,0.6845369960124058,0.296189632255206,0.019273371732388127,0.44801512287334594,0.34168241965973534,0.21030245746691872,0.19875,0.022916666666666665,0.7783333333333333,0.5000587837149844,3.168421052631579,2.0,1.2260932326263982,3.4225560666823345,-3015.544071612633,-3068.3575567363773,105.62697024748832,0.0,1425,0.23423545448887995,1.5190236898779612,1.0,1.5435911985555497,1.7072864448314244,-1717.8703370034464,-1975.3684721433494,514.9962702798061,0.0,1393,0.26570576179613575,4.511278195488722,2.0,0.8308990182012995,3.9486134551066017,-1311.3086616991925,-1333.5008403610168,44.3843573236486,2.6983415502002117e-11,532
NASDAQ,10361,0.6937632747634679,0.28016991697238847,0.02606680826414366,0.4547045951859956,0.32560175054704593,0.21969365426695842,0.18922651933701656,0.03073204419889503,0.7800414364640884,0.5000533533910705,3.2640201638311277,2.0,1.2253623131263658,3.5229679060107153,-3407.4785900959023,-3464.3569085719387,113.75663695207277,0.0,1587,0.22047597492496077,1.482803374432187,1.0,1.6693744416912581,1.6713427693876606,-1781.5124262883155,-2148.0530152006195,733.081177824608,0.0,1541,0.2794706716839687,4.546310832025117,1.0,0.8059514752670653,3.8629945837449142,-1564.9408991924126,-1601.6193543836039,73.35691038238247,0.0,637
NIFTY50,4360,0.6521340064249656,0.3207893529141808,0.027076640660853604,0.4820415879017013,0.31096408317580343,0.20699432892249528,0.22192513368983957,0.025846702317290554,0.7522281639928698,0.5002008530821167,2.8722002635046113,2.0,1.2332842398482395,3.1083799437039303,-1530.198416156788,-1559.8044891961163,59.21214607865659,1.4210854715202004e-14,759,0.24252550434694742,1.4513031550068587,1.0,1.903785853462014,1.6369101586213493,-758.0242859988798,-1000.5247108185886,485.00084963941754,0.0,729,0.25727364257093577,4.0359712230215825,1.0,0.8547969895723568,3.621982495153837,-657.7077231948873,-665.8786583249772,16.341870260179803,5.288252647484004e-05,278
NIKKEI225,9239,0.6970550021654396,0.2812906019922044,0.021654395842355997,0.4060434372049103,0.3635505193578848,0.23040604343720492,0.2158273381294964,0.019184652278177457,0.7649880095923262,0.5000653179869319,3.2992857142857144,2.0,1.1951540532593343,3.5384317445208704,-3031.277342398163,-3071.1883927581575,79.82210071998907,0.0,1400,0.22917468725877935,1.5712166172106825,1.0,1.4268514886040817,1.7553304833848602,-1775.9639164551784,-1957.094116360906,362.26039981145504,0.0,1348,0.27075999475428875,4.255102040816326,2.0,0.8738792592906292,3.8965833536962435,-1427.2989509187805,-1439.493820959399,24.38974008123705,7.868664583243756e-07,588
